Model,Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
RF,KC1,0.7078,0.4231,0.3492,0.3826,0.6096
SVM,KC1,0.6255,0.3409,0.4762,0.3974,0.6145
MLP,KC1,0.7284,0.4286,0.1429,0.2143,0.5996
