Model,Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
RF,JM1,0.7448,0.4346,0.4378,0.4362,0.7084
SVM,JM1,0.6983,0.3794,0.5323,0.4431,0.7091
MLP,JM1,0.7897,0.6392,0.1542,0.2485,0.7066
