Model,Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
CodeBERT_Fixed,CM1,0.1124,0.1124,1.0000,0.2020,0.5000
CodeBERT_Fixed,PC1,0.0733,0.0733,1.0000,0.1366,0.5424
CodeBERT_Fixed,KC1,0.2593,0.2593,1.0000,0.4118,0.5000
CodeBERT_Fixed,JM1,0.2255,0.2255,1.0000,0.3680,0.5009
