Model,Dataset,Accuracy,Precision,Recall,F1-Score,AUC-ROC
RF,PC1,0.9005,0.3077,0.2857,0.2963,0.8277
SVM,PC1,0.7749,0.2041,0.7143,0.3175,0.8093
MLP,PC1,0.9267,0.5000,0.1429,0.2222,0.7785
